ordernumber,quantityordered,priceeach,sales,orderdate,status,month_id,year_id,productline,customername,addressline1,city,state,country,territory,dealsize
10107,30,95.7,2871.0,2003-02-24,Shipped,2,2003,Motorcycles,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,USA,NAM,Small
10121,34,81.35,2765.9,2003-05-07,Shipped,5,2003,Motorcycles,Reims Collectables,59 rue de l'Abbaye,Reims,,France,EMEA,Small
10134,41,94.74,3884.34,2003-07-01,Shipped,7,2003,Motorcycles,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,,France,EMEA,Medium
10145,45,83.26,3746.7,2003-08-25,Shipped,8,2003,Motorcycles,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,CA,USA,NAM,Medium
10159,49,100.0,5205.27,2003-10-10,Shipped,10,2003,Motorcycles,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,USA,NAM,Medium
10168,36,96.66,3479.76,2003-10-28,Shipped,10,2003,Motorcycles,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,USA,NAM,Medium
10180,29,86.13,2497.77,2003-11-11,Shipped,11,2003,Motorcycles,Daedalus Designs Imports,"184, chausse de Tournai",Lille,,France,EMEA,Small
10188,48,100.0,5512.32,2003-11-18,Shipped,11,2003,Motorcycles,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,,Norway,EMEA,Medium
10201,22,98.57,2168.54,2003-12-01,Shipped,12,2003,Motorcycles,Mini Wheels Co.,5557 North Pendale Street,San Francisco,CA,USA,NAM,Small
10211,41,100.0,4708.44,2004-01-15,Shipped,1,2004,Motorcycles,Auto Canal Petit,"25, rue Lauriston",Paris,,France,EMEA,Medium
10223,37,100.0,3965.66,2004-02-20,Shipped,2,2004,Motorcycles,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,Australia,APAC,Medium
10237,23,100.0,2333.12,2004-04-05,Shipped,4,2004,Motorcycles,Vitachrome Inc.,2678 Kingston Rd.,NYC,NY,USA,NAM,Small
10251,28,100.0,3188.64,2004-05-18,Shipped,5,2004,Motorcycles,Tekni Collectables Inc.,7476 Moss Rd.,Newark,NJ,USA,NAM,Medium
10263,34,100.0,3676.76,2004-06-28,Shipped,6,2004,Motorcycles,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,CT,USA,NAM,Medium
